"﻿ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Automation Status","Area Path","State","Tags"
"","Test Case","TC - [A11y] - 1.1 - Text Alternatives - 1.1.1 - Non-text Content","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Inspeccionar todas las imágenes del sitio con herramienta de inspección o lector de pantalla","Cada imagen debe tener atributo alt con descripción significativa o alt='' si es decorativa","","","",""
"","","","2","Verificar imágenes funcionales (botones, enlaces) con inspector de accesibilidad","Imágenes funcionales deben describir la acción o destino, no solo la imagen visual","","","",""
"","","","3","Revisar imágenes complejas (gráficos, diagramas) y buscar descripciones extendidas","Imágenes complejas deben tener descripción larga accesible mediante longdesc, aria-describedby o texto adyacente","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.1 - Audio-only and Video-only (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Reproducir contenido de solo audio o solo video y verificar alternativas disponibles","Debe existir transcripción textual o descripción alternativa accesible junto al contenido","","","",""
"","","","2","Verificar que transcripción incluya identificación de hablantes y sonidos relevantes","Transcripción debe ser completa, identificar quién habla y describir sonidos importantes para comprensión","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.2 - Captions (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Reproducir videos pregrabados en el sitio","Videos deben incluir subtítulos sincronizados activables que cubran todo el diálogo y sonidos relevantes","","","",""
"","","","2","Verificar sincronización y precisión de subtítulos con el audio","Subtítulos deben aparecer sincronizados con el audio, sin errores significativos y cubrir efectos de sonido relevantes","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.3 - Audio Description or Media Alternative (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Reproducir videos con contenido visual esencial y verificar descripciones","Debe existir audiodescripción o alternativa textual que describa información visual importante","","","",""
"","","","2","Comprobar que alternativa cubra todos los elementos visuales críticos para comprensión","Descripción debe incluir acciones, expresiones, cambios de escena y texto en pantalla no hablado","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.4 - Captions (Live)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Acceder a transmisiones en vivo si las hay","Transmisiones en vivo deben contar con subtitulado en tiempo real","","","",""
"","","","2","Verificar precisión y retraso aceptable de subtítulos en vivo","Subtítulos deben reflejar audio hablado con precisión razonable y retraso mínimo (máximo 3-5 segundos)","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.5 - Audio Description (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar videos pregrabados que contengan información visual esencial no transmitida en audio","Videos deben incluir audiodescripción que describa acciones, personajes, cambios de escena y elementos visuales relevantes","","","",""
"","","","2","Reproducir video con audiodescripción activada y verificar sincronización","Audiodescripción debe insertarse en pausas naturales del diálogo sin solaparse con audio principal","","","",""
"","","","3","Verificar que la audiodescripción cubra todos los elementos visuales críticos","Información visual esencial debe estar completamente descrita para usuarios ciegos o con baja visión","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.6 - Sign Language (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar contenido de audio pregrabado (videos con narración o diálogo)","Videos deben incluir interpretación en lenguaje de señas visible en pantalla o activable","","","",""
"","","","2","Verificar visibilidad y tamaño del intérprete de señas","Intérprete debe ser claramente visible, con contraste adecuado y tamaño suficiente para distinguir señas","","","",""
"","","","3","Comprobar sincronización entre audio y lenguaje de señas","Interpretación en señas debe estar sincronizada con el audio hablado sin retrasos significativos","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.7 - Extended Audio Description (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar videos donde pausas naturales sean insuficientes para audiodescripción","Video debe pausarse automáticamente para permitir audiodescripción extendida de información visual compleja","","","",""
"","","","2","Reproducir video con audiodescripción extendida y verificar pausas","Video debe pausarse cuando sea necesario describir elementos visuales, luego continuar automáticamente","","","",""
"","","","3","Verificar control del usuario sobre audiodescripción extendida","Usuario debe poder activar o desactivar audiodescripción extendida según preferencia","","","",""
"","","","4","Confirmar que descripción extendida no interfiera con comprensión del contenido","Pausas y descripciones deben integrarse naturalmente sin causar confusión o pérdida de contexto narrativo","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.8 - Media Alternative (Prerecorded)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Localizar videos pregrabados y verificar disponibilidad de documento de texto completo","Debe existir transcripción textual completa que incluya diálogos, descripciones visuales y sonidos relevantes","","","",""
"","","","2","Revisar que alternativa textual describa secuencia completa de eventos visuales","Documento debe funcionar como alternativa independiente, describiendo toda información visual esencial cronológicamente","","","",""
"","","","3","Verificar accesibilidad de la alternativa textual","Transcripción debe estar en formato accesible (HTML, documento estructurado) cerca del video original","","","",""
