TCID,Test Summary,Issue Type,Priority,Labels,Step #,Action,Data,Expected Result
"1","TC - [A11y] - 1.1 - Text Alternatives - 1.1.1 - Non-text Content","Test","Medium","A11Y;A","1","Inspeccionar todas las imágenes del sitio con herramienta de inspección o lector de pantalla","","Cada imagen debe tener atributo alt con descripción significativa o alt='' si es decorativa"
"1","","","","","2","Verificar imágenes funcionales (botones, enlaces) con inspector de accesibilidad","","Imágenes funcionales deben describir la acción o destino, no solo la imagen visual"
"1","","","","","3","Revisar imágenes complejas (gráficos, diagramas) y buscar descripciones extendidas","","Imágenes complejas deben tener descripción larga accesible mediante longdesc, aria-describedby o texto adyacente"
"2","TC - [A11y] - 1.2 - Time-based Media - 1.2.1 - Audio-only and Video-only (Prerecorded)","Test","Medium","A11Y;A","1","Reproducir contenido de solo audio o solo video y verificar alternativas disponibles","","Debe existir transcripción textual o descripción alternativa accesible junto al contenido"
"2","","","","","2","Verificar que transcripción incluya identificación de hablantes y sonidos relevantes","","Transcripción debe ser completa, identificar quién habla y describir sonidos importantes para comprensión"
"3","TC - [A11y] - 1.2 - Time-based Media - 1.2.2 - Captions (Prerecorded)","Test","Medium","A11Y;A","1","Reproducir videos pregrabados en el sitio","","Videos deben incluir subtítulos sincronizados activables que cubran todo el diálogo y sonidos relevantes"
"3","","","","","2","Verificar sincronización y precisión de subtítulos con el audio","","Subtítulos deben aparecer sincronizados con el audio, sin errores significativos y cubrir efectos de sonido relevantes"
"4","TC - [A11y] - 1.2 - Time-based Media - 1.2.3 - Audio Description or Media Alternative (Prerecorded)","Test","Medium","A11Y;A","1","Reproducir videos con contenido visual esencial y verificar descripciones","","Debe existir audiodescripción o alternativa textual que describa información visual importante"
"4","","","","","2","Comprobar que alternativa cubra todos los elementos visuales críticos para comprensión","","Descripción debe incluir acciones, expresiones, cambios de escena y texto en pantalla no hablado"
"5","TC - [A11y] - 1.2 - Time-based Media - 1.2.4 - Captions (Live)","Test","Medium","A11Y;AA","1","Acceder a transmisiones en vivo si las hay","","Transmisiones en vivo deben contar con subtitulado en tiempo real"
"5","","","","","2","Verificar precisión y retraso aceptable de subtítulos en vivo","","Subtítulos deben reflejar audio hablado con precisión razonable y retraso mínimo (máximo 3-5 segundos)"
"6","TC - [A11y] - 1.2 - Time-based Media - 1.2.5 - Audio Description (Prerecorded)","Test","Medium","A11Y;AA","1","Identificar videos pregrabados que contengan información visual esencial no transmitida en audio","","Videos deben incluir audiodescripción que describa acciones, personajes, cambios de escena y elementos visuales relevantes"
"6","","","","","2","Reproducir video con audiodescripción activada y verificar sincronización","","Audiodescripción debe insertarse en pausas naturales del diálogo sin solaparse con audio principal"
"6","","","","","3","Verificar que la audiodescripción cubra todos los elementos visuales críticos","","Información visual esencial debe estar completamente descrita para usuarios ciegos o con baja visión"
"7","TC - [A11y] - 1.2 - Time-based Media - 1.2.6 - Sign Language (Prerecorded)","Test","Medium","A11Y;AAA","1","Identificar contenido de audio pregrabado (videos con narración o diálogo)","","Videos deben incluir interpretación en lenguaje de señas visible en pantalla o activable"
"7","","","","","2","Verificar visibilidad y tamaño del intérprete de señas","","Intérprete debe ser claramente visible, con contraste adecuado y tamaño suficiente para distinguir señas"
"7","","","","","3","Comprobar sincronización entre audio y lenguaje de señas","","Interpretación en señas debe estar sincronizada con el audio hablado sin retrasos significativos"
"8","TC - [A11y] - 1.2 - Time-based Media - 1.2.7 - Extended Audio Description (Prerecorded)","Test","Medium","A11Y;AAA","1","Identificar videos donde pausas naturales sean insuficientes para audiodescripción","","Video debe pausarse automáticamente para permitir audiodescripción extendida de información visual compleja"
"8","","","","","2","Reproducir video con audiodescripción extendida y verificar pausas","","Video debe pausarse cuando sea necesario describir elementos visuales, luego continuar automáticamente"
"8","","","","","3","Verificar control del usuario sobre audiodescripción extendida","","Usuario debe poder activar o desactivar audiodescripción extendida según preferencia"
"8","","","","","4","Confirmar que descripción extendida no interfiera con comprensión del contenido","","Pausas y descripciones deben integrarse naturalmente sin causar confusión o pérdida de contexto narrativo"
"9","TC - [A11y] - 1.2 - Time-based Media - 1.2.8 - Media Alternative (Prerecorded)","Test","Medium","A11Y;AAA","1","Localizar videos pregrabados y verificar disponibilidad de documento de texto completo","","Debe existir transcripción textual completa que incluya diálogos, descripciones visuales y sonidos relevantes"
"9","","","","","2","Revisar que alternativa textual describa secuencia completa de eventos visuales","","Documento debe funcionar como alternativa independiente, describiendo toda información visual esencial cronológicamente"
"9","","","","","3","Verificar accesibilidad de la alternativa textual","","Transcripción debe estar en formato accesible (HTML, documento estructurado) cerca del video original"
"10","TC - [A11y] - 1.2 - Time-based Media - 1.2.9 - Audio-only (Live)","Test","Medium","A11Y;AAA","1","Acceder a transmisión de solo audio en vivo (podcast, radio web, conferencia)","","Debe existir alternativa equivalente presentada de forma sincronizada con el audio en vivo"
"10","","","","","2","Verificar método de entrega de alternativa sincronizada","","Alternativa puede ser transcripción en tiempo real, descripción textual sincronizada o contenido equivalente actualizado"
"10","","","","","3","Comprobar que alternativa capture información esencial del audio en vivo","","Contenido textual debe reflejar información crítica del audio con mínimo retraso aceptable"
"11","TC - [A11y] - 1.3 - Adaptable - 1.3.1 - Info and Relationships","Test","Medium","A11Y;A","1","Inspeccionar código HTML de tablas, listas y encabezados con DevTools","","Tablas usan thead/tbody/th con scope, listas usan ul/ol/li, encabezados usan h1-h6 jerárquicamente"
"11","","","","","2","Verificar formularios con labels asociados programáticamente","","Cada input debe tener label con atributo for o estar envuelto en label, visible para lectores de pantalla"
"11","","","","","3","Revisar grupos de campos relacionados con fieldset y legend","","Grupos de controles (radio buttons, checkboxes) deben estar agrupados con fieldset y legend descriptivo"
"12","TC - [A11y] - 1.3 - Adaptable - 1.3.2 - Meaningful Sequence","Test","Medium","A11Y;A","1","Navegar el sitio solo con Tab y verificar orden de lectura","","El orden de tabulación y DOM debe coincidir con el orden visual lógico del contenido"
"12","","","","","2","Usar lector de pantalla para verificar orden de lectura del contenido","","Orden de lectura debe ser lógico y coherente, sin saltos confusos causados por posicionamiento CSS"
"13","TC - [A11y] - 1.3 - Adaptable - 1.3.3 - Sensory Characteristics","Test","Medium","A11Y;A","1","Identificar instrucciones que usan solo forma, color o posición","","Instrucciones deben incluir texto descriptivo además de referencias visuales (ej: 'botón verde Enviar' no solo 'botón verde')"
"13","","","","","2","Verificar que información crítica no dependa únicamente de elementos sensoriales","","Errores, alertas o pasos de proceso deben comunicarse con texto además de color, iconos o sonidos"
"14","TC - [A11y] - 1.3 - Adaptable - 1.3.4 - Orientation","Test","Medium","A11Y;AA","1","Rotar dispositivo o cambiar orientación del navegador","","Contenido debe funcionar en orientación vertical y horizontal sin pérdida de funcionalidad"
"14","","","","","2","Verificar que contenido no esté bloqueado en una sola orientación","","Aplicación no debe forzar orientación específica a menos que sea esencial (ej: app de piano, cheque bancario)"
"15","TC - [A11y] - 1.3 - Adaptable - 1.3.5 - Identify Input Purpose","Test","Medium","A11Y;AA","1","Inspeccionar campos de formulario en código fuente","","Campos comunes (nombre, email, teléfono) deben tener atributo autocomplete apropiado"
"15","","","","","2","Probar autocompletado con datos guardados en navegador","","Campos con autocomplete correcto deben sugerir valores guardados del usuario al comenzar a escribir"
"16","TC - [A11y] - 1.3 - Adaptable - 1.3.6 - Identify Purpose","Test","Medium","A11Y;AAA","1","Revisar componentes de UI complejos y verificar propósito programático","","Componentes deben identificar su propósito mediante atributos ARIA o semántica HTML para tecnologías asistivas"
"16","","","","","2","Verificar iconos y elementos interactivos con inspector de accesibilidad","","Botones, enlaces e iconos deben exponer su función mediante roles y nombres accesibles apropiados"
"17","TC - [A11y] - 1.4 - Distinguishable - 1.4.1 - Use of Color","Test","Medium","A11Y;A","1","Identificar elementos donde el color transmite información (errores, estados, enlaces)","","Información transmitida por color debe incluir indicador adicional (texto, icono, patrón)"
"17","","","","","2","Probar sitio en modo escala de grises o con simulador de daltonismo","","Toda información debe permanecer comprensible sin depender del color para distinguir elementos"
"18","TC - [A11y] - 1.4 - Distinguishable - 1.4.2 - Audio Control","Test","Medium","A11Y;A","1","Acceder a páginas con audio automático","","Debe existir control visible para pausar, detener o silenciar audio que se reproduce más de 3 segundos"
"18","","","","","2","Verificar que control de audio sea accesible por teclado","","Control debe poder operarse sin mouse, usando Tab y Enter/Space"
"19","TC - [A11y] - 1.4 - Distinguishable - 1.4.3 - Contrast (Minimum)","Test","Medium","A11Y;AA","1","Medir contraste de texto con herramienta (ej: Colour Contrast Analyser)","","Texto normal: mínimo 4.5:1, texto grande (18pt+ o 14pt bold+): mínimo 3:1"
"19","","","","","2","Verificar contraste en todos los estados (normal, hover, focus, disabled)","","Todos los estados de elementos interactivos deben cumplir ratios de contraste requeridos"
"19","","","","","3","Revisar texto sobre imágenes o fondos degradados","","Texto superpuesto debe tener contraste suficiente en toda su extensión o usar sombras/overlays"
"20","TC - [A11y] - 1.4 - Distinguishable - 1.4.4 - Resize Text","Test","Medium","A11Y;AA","1","Hacer zoom al 200% en navegador","","Texto debe ser legible y contenido accesible sin scroll horizontal ni superposiciones"
"20","","","","","2","Verificar que controles y botones permanezcan operables al hacer zoom","","Elementos interactivos no deben quedar cortados u ocultos al aumentar tamaño de texto"
"21","TC - [A11y] - 1.4 - Distinguishable - 1.4.5 - Images of Text","Test","Medium","A11Y;AA","1","Identificar texto renderizado como imagen","","Texto debe estar en HTML real, no en imágenes (excepto logos o casos especiales)"
"21","","","","","2","Inspeccionar gráficos y banners en busca de texto embebido","","Títulos, etiquetas y texto informativo deben ser texto HTML estilizado con CSS, no imágenes"
"22","TC - [A11y] - 1.4 - Distinguishable - 1.4.6 - Contrast (Enhanced)","Test","Medium","A11Y;AAA","1","Medir contraste de texto en elementos críticos con herramientas de análisis","","Texto normal: mínimo 7:1, texto grande: mínimo 4.5:1 para cumplimiento AAA"
"22","","","","","2","Documentar excepciones y planificar mejoras de contraste","","Identificar áreas que no cumplen AAA y priorizar cambios en elementos más críticos"
"23","TC - [A11y] - 1.4 - Distinguishable - 1.4.7 - Low or No Background Audio","Test","Medium","A11Y;AAA","1","Reproducir contenido de audio y evaluar presencia de sonido de fondo","","Audio de fondo debe ser removible, estar 20dB más bajo que el audio principal, o no existir"
"23","","","","","2","Verificar control para desactivar música de fondo si existe","","Usuario debe poder silenciar o reducir audio ambiental sin afectar narración principal"
"24","TC - [A11y] - 1.4 - Distinguishable - 1.4.8 - Visual Presentation","Test","Medium","A11Y;AAA","1","Verificar si el usuario puede personalizar espaciado, ancho de columna, alineación y fuentes","","Sistema debe permitir ajustes de presentación visual sin pérdida de funcionalidad o contenido"
"24","","","","","2","Probar legibilidad con configuraciones de sistema operativo (tamaño texto, contraste alto)","","Contenido debe respetar preferencias del usuario definidas a nivel de sistema"
"25","TC - [A11y] - 1.4 - Distinguishable - 1.4.9 - Images of Text (No Exception)","Test","Medium","A11Y;AAA","1","Revisar exhaustivamente todo el sitio en busca de texto renderizado como imagen","","No debe existir texto en formato de imagen, todo debe ser texto HTML real (sin excepciones salvo logotipos)"
"25","","","","","2","Inspeccionar elementos decorativos y verificar que texto sea estilizado con CSS","","Efectos visuales en texto deben lograrse con CSS, no convirtiendo texto en imágenes"
"26","TC - [A11y] - 1.4 - Distinguishable - 1.4.10 - Reflow","Test","Medium","A11Y;AA","1","Ajustar ventana a 320px de ancho o hacer zoom 400%","","No debe requerirse scroll horizontal para leer contenido (excepto tablas complejas)"
"26","","","","","2","Probar en dispositivo móvil real con viewport estrecho","","Todo el contenido debe adaptarse fluidamente sin recortes ni necesidad de scroll bidireccional"
"27","TC - [A11y] - 1.4 - Distinguishable - 1.4.11 - Non-text Contrast","Test","Medium","A11Y;AA","1","Medir contraste de componentes UI y estados de foco","","Contraste mínimo 3:1 para bordes de componentes, iconos funcionales y indicadores de foco"
"27","","","","","2","Verificar contraste de elementos gráficos informativos (gráficas, iconos de estado)","","Elementos visuales que transmiten información deben distinguirse claramente del fondo"
"28","TC - [A11y] - 1.4 - Distinguishable - 1.4.12 - Text Spacing","Test","Medium","A11Y;AA","1","Aplicar CSS de espaciado aumentado (line-height: 1.5, letter-spacing: 0.12em, etc)","","Contenido debe permanecer legible y funcional sin recortes ni superposiciones"
"28","","","","","2","Verificar que botones y controles no se rompan con espaciado modificado","","Elementos interactivos deben mantener su funcionalidad y legibilidad con espaciados personalizados"
"29","TC - [A11y] - 1.4 - Distinguishable - 1.4.13 - Content on Hover or Focus","Test","Medium","A11Y;AA","1","Activar tooltips y contenido emergente con hover y teclado","","Contenido adicional debe ser accesible por teclado, permanecer visible y poder cerrarse sin mover puntero"
"29","","","","","2","Verificar que contenido emergente no desaparezca al mover puntero sobre él","","Usuario debe poder mover cursor sobre tooltip para leer o interactuar sin que desaparezca"
"29","","","","","3","Comprobar mecanismo de cierre accesible (ESC o botón cerrar)","","Contenido emergente debe poder cerrarse sin mover puntero del trigger que lo activó"
