"ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Assigned To","State"
"","Test Case","[1.1.1] Contenido no textual - Imágenes","1","Inspeccionar todas las imágenes del sitio con herramienta de inspección o lector de pantalla","Cada imagen debe tener atributo alt con descripción significativa o alt='' si es decorativa","","Design"
"","","","1","Inspeccionar todas las imágenes del sitio con herramienta de inspección o lector de pantalla","Cada imagen debe tener atributo alt con descripción significativa o alt='' si es decorativa","",""
"","","","2","Verificar imágenes funcionales (botones, enlaces) con inspector de accesibilidad","Imágenes funcionales deben describir la acción o destino, no solo la imagen visual","",""
"","","","3","Revisar imágenes complejas (gráficos, diagramas) y buscar descripciones extendidas","Imágenes complejas deben tener descripción larga accesible mediante longdesc, aria-describedby o texto adyacente","",""
"","Test Case","[1.2.1] Solo audio y solo video pregrabado","1","Reproducir contenido de solo audio o solo video y verificar alternativas disponibles","Debe existir transcripción textual o descripción alternativa accesible junto al contenido","","Design"
"","","","1","Reproducir contenido de solo audio o solo video y verificar alternativas disponibles","Debe existir transcripción textual o descripción alternativa accesible junto al contenido","",""
"","","","2","Verificar que transcripción incluya identificación de hablantes y sonidos relevantes","Transcripción debe ser completa, identificar quién habla y describir sonidos importantes para comprensión","",""
"","Test Case","[1.2.2] Subtítulos para video pregrabado","1","Reproducir videos pregrabados en el sitio","Videos deben incluir subtítulos sincronizados activables que cubran todo el diálogo y sonidos relevantes","","Design"
"","","","1","Reproducir videos pregrabados en el sitio","Videos deben incluir subtítulos sincronizados activables que cubran todo el diálogo y sonidos relevantes","",""
"","","","2","Verificar sincronización y precisión de subtítulos con el audio","Subtítulos deben aparecer sincronizados con el audio, sin errores significativos y cubrir efectos de sonido relevantes","",""
"","Test Case","[1.2.3] Descripción de audio o alternativa media","1","Reproducir videos con contenido visual esencial y verificar descripciones","Debe existir audiodescripción o alternativa textual que describa información visual importante","","Design"
"","","","1","Reproducir videos con contenido visual esencial y verificar descripciones","Debe existir audiodescripción o alternativa textual que describa información visual importante","",""
"","","","2","Comprobar que alternativa cubra todos los elementos visuales críticos para comprensión","Descripción debe incluir acciones, expresiones, cambios de escena y texto en pantalla no hablado","",""
"","Test Case","[1.2.4] Subtítulos en vivo","1","Acceder a transmisiones en vivo si las hay","Transmisiones en vivo deben contar con subtitulado en tiempo real","","Design"
"","","","1","Acceder a transmisiones en vivo si las hay","Transmisiones en vivo deben contar con subtitulado en tiempo real","",""
"","","","2","Verificar precisión y retraso aceptable de subtítulos en vivo","Subtítulos deben reflejar audio hablado con precisión razonable y retraso mínimo (máximo 3-5 segundos)","",""
"","Test Case","[1.2.5] Audiodescripción pregrabada","1","Identificar videos pregrabados que contengan información visual esencial no transmitida en audio","Videos deben incluir audiodescripción que describa acciones, personajes, cambios de escena y elementos visuales relevantes","","Design"
"","","","1","Identificar videos pregrabados que contengan información visual esencial no transmitida en audio","Videos deben incluir audiodescripción que describa acciones, personajes, cambios de escena y elementos visuales relevantes","",""
"","","","2","Reproducir video con audiodescripción activada y verificar sincronización","Audiodescripción debe insertarse en pausas naturales del diálogo sin solaparse con audio principal","",""
"","","","3","Verificar que la audiodescripción cubra todos los elementos visuales críticos","Información visual esencial debe estar completamente descrita para usuarios ciegos o con baja visión","",""
"","Test Case","[1.2.6] Lenguaje de señas pregrabado","1","Identificar contenido de audio pregrabado (videos con narración o diálogo)","Videos deben incluir interpretación en lenguaje de señas visible en pantalla o activable","","Design"
"","","","1","Identificar contenido de audio pregrabado (videos con narración o diálogo)","Videos deben incluir interpretación en lenguaje de señas visible en pantalla o activable","",""
"","","","2","Verificar visibilidad y tamaño del intérprete de señas","Intérprete debe ser claramente visible, con contraste adecuado y tamaño suficiente para distinguir señas","",""
"","","","3","Comprobar sincronización entre audio y lenguaje de señas","Interpretación en señas debe estar sincronizada con el audio hablado sin retrasos significativos","",""
"","Test Case","[1.2.7] Audiodescripción extendida pregrabada","1","Identificar videos donde pausas naturales sean insuficientes para audiodescripción","Video debe pausarse automáticamente para permitir audiodescripción extendida de información visual compleja","","Design"
"","","","1","Identificar videos donde pausas naturales sean insuficientes para audiodescripción","Video debe pausarse automáticamente para permitir audiodescripción extendida de información visual compleja","",""
"","","","2","Reproducir video con audiodescripción extendida y verificar pausas","Video debe pausarse cuando sea necesario describir elementos visuales, luego continuar automáticamente","",""
"","","","3","Verificar control del usuario sobre audiodescripción extendida","Usuario debe poder activar o desactivar audiodescripción extendida según preferencia","",""
