"﻿ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Automation Status","Area Path","State","Tags"
"","Test Case","TC - [A11y] - 1.1 - Text Alternatives - 1.1.1 - Non-text Content","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Inspect all site images using inspection tools or screen reader","Each image must have an alt attribute with meaningful description or alt='' if decorative","","","",""
"","","","2","Verify functional images (buttons, links) with accessibility inspector","Functional images must describe the action or destination, not just the visual image","","","",""
"","","","3","Review complex images (charts, diagrams) and look for extended descriptions","Complex images must have accessible long description via longdesc, aria-describedby, or adjacent text","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.1 - Audio-only and Video-only (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Play audio-only or video-only content and verify available alternatives","A text transcript or accessible alternative description must exist alongside the content","","","",""
"","","","2","Verify that transcript includes speaker identification and relevant sounds","Transcript must be complete, identify who is speaking, and describe important sounds for comprehension","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.2 - Captions (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Play prerecorded videos on the site","Videos must include synchronized activatable captions covering all dialogue and relevant sounds","","","",""
"","","","2","Verify caption synchronization and accuracy with audio","Captions must appear synchronized with audio, without significant errors, covering relevant sound effects","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.3 - Audio Description or Media Alternative (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Play videos with essential visual content and verify descriptions","Audio description or text alternative must exist describing important visual information","","","",""
"","","","2","Verify that alternative covers all critical visual elements for comprehension","Description must include actions, expressions, scene changes, and unspoken on-screen text","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.4 - Captions (Live)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Access live broadcasts if available","Live broadcasts must have real-time captioning","","","",""
"","","","2","Verify accuracy and acceptable delay of live captions","Captions must reflect spoken audio with reasonable accuracy and minimal delay (maximum 3-5 seconds)","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.5 - Audio Description (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify prerecorded videos containing essential visual information not conveyed in audio","Videos must include audio description covering actions, characters, scene changes, and relevant visual elements","","","",""
"","","","2","Play video with audio description enabled and verify synchronization","Audio description must be inserted in natural pauses without overlapping main audio","","","",""
"","","","3","Verify that audio description covers all critical visual elements","Essential visual information must be fully described for blind or low vision users","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.6 - Sign Language (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify prerecorded audio content (videos with narration or dialogue)","Videos must include sign language interpretation visible on screen or activatable","","","",""
"","","","2","Verify visibility and size of sign language interpreter","Interpreter must be clearly visible, with adequate contrast and sufficient size to distinguish signs","","","",""
"","","","3","Verify synchronization between audio and sign language","Sign interpretation must be synchronized with spoken audio without significant delays","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.7 - Extended Audio Description (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify videos where natural pauses are insufficient for audio description","Video must automatically pause to allow extended audio description of complex visual information","","","",""
"","","","2","Play video with extended audio description and verify pauses","Video must pause when needed to describe visual elements, then continue automatically","","","",""
"","","","3","Verify user control over extended audio description","User must be able to enable or disable extended audio description per preference","","","",""
"","","","4","Confirm that extended description does not interfere with content comprehension","Pauses and descriptions must integrate naturally without causing confusion or loss of narrative context","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.8 - Media Alternative (Prerecorded)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Locate prerecorded videos and verify availability of complete text document","A complete text transcript must exist including dialogues, visual descriptions, and relevant sounds","","","",""
"","","","2","Review that text alternative describes complete sequence of visual events","Document must function as independent alternative, describing all essential visual information chronologically","","","",""
"","","","3","Verify accessibility of text alternative","Transcript must be in accessible format (HTML, structured document) near the original video","","","",""
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.9 - Audio-only (Live)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Access live audio-only broadcast (podcast, web radio, conference)","An equivalent alternative must be presented synchronized with the live audio","","","",""
"","","","2","Verify delivery method of synchronized alternative","Alternative can be real-time transcript, synchronized text description, or updated equivalent content","","","",""
"","","","3","Verify that alternative captures essential information from live audio","Text content must reflect critical audio information with minimal acceptable delay","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.1 - Info and Relationships","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Inspect HTML code of tables, lists, and headings with DevTools","Tables use thead/tbody/th with scope, lists use ul/ol/li, headings use h1-h6 hierarchically","","","",""
"","","","2","Verify forms with programmatically associated labels","Each input must have label with for attribute or be wrapped in label, visible to screen readers","","","",""
"","","","3","Review related field groups with fieldset and legend","Control groups (radio buttons, checkboxes) must be grouped with fieldset and descriptive legend","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.2 - Meaningful Sequence","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Navigate the site using only Tab and verify reading order","Tab and DOM order must match the logical visual order of content","","","",""
"","","","2","Use screen reader to verify content reading order","Reading order must be logical and coherent, without confusing jumps caused by CSS positioning","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.3 - Sensory Characteristics","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify instructions that use only shape, color, or position","Instructions must include descriptive text in addition to visual references (e.g., 'green Submit button' not just 'green button')","","","",""
"","","","2","Verify that critical information does not rely solely on sensory elements","Errors, alerts, or process steps must be communicated with text in addition to color, icons, or sounds","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.4 - Orientation","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Rotate device or change browser orientation","Content must work in portrait and landscape orientation without loss of functionality","","","",""
"","","","2","Verify that content is not locked to a single orientation","Application must not force specific orientation unless essential (e.g., piano app, bank check)","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.5 - Identify Input Purpose","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Inspect form fields in source code","Common fields (name, email, phone) must have appropriate autocomplete attribute","","","",""
"","","","2","Test autocomplete with browser saved data","Fields with correct autocomplete must suggest user saved values when typing begins","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.6 - Identify Purpose","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Review complex UI components and verify programmatic purpose","Components must identify their purpose through ARIA attributes or HTML semantics for assistive technologies","","","",""
"","","","2","Verify icons and interactive elements with accessibility inspector","Buttons, links, and icons must expose their function through appropriate roles and accessible names","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.1 - Use of Color","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify elements where color conveys information (errors, states, links)","Information conveyed by color must include additional indicator (text, icon, pattern)","","","",""
"","","","2","Test site in grayscale mode or with color blindness simulator","All information must remain comprehensible without relying on color to distinguish elements","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.2 - Audio Control","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Access pages with auto-playing audio","A visible control must exist to pause, stop, or mute audio playing for more than 3 seconds","","","",""
"","","","2","Verify that audio control is keyboard accessible","Control must be operable without mouse, using Tab and Enter/Space","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.3 - Contrast (Minimum)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Measure text contrast with tool (e.g., Colour Contrast Analyser)","Normal text: minimum 4.5:1, large text (18pt+ or 14pt bold+): minimum 3:1","","","",""
"","","","2","Verify contrast in all states (normal, hover, focus, disabled)","All interactive element states must meet required contrast ratios","","","",""
"","","","3","Review text over images or gradient backgrounds","Overlaid text must have sufficient contrast throughout or use shadows/overlays","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.4 - Resize Text","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Zoom to 200% in browser","Text must be readable and content accessible without horizontal scroll or overlaps","","","",""
"","","","2","Verify that controls and buttons remain operable when zoomed","Interactive elements must not be clipped or hidden when text size is increased","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.5 - Images of Text","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify text rendered as image","Text must be in real HTML, not images (except logos or special cases)","","","",""
"","","","2","Inspect graphics and banners for embedded text","Titles, labels, and informative text must be CSS-styled HTML text, not images","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.6 - Contrast (Enhanced)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Measure text contrast in critical elements with analysis tools","Normal text: minimum 7:1, large text: minimum 4.5:1 for AAA compliance","","","",""
"","","","2","Document exceptions and plan contrast improvements","Identify areas not meeting AAA and prioritize changes in most critical elements","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.7 - Low or No Background Audio","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Play audio content and evaluate background sound presence","Background audio must be removable, 20dB lower than main audio, or non-existent","","","",""
"","","","2","Verify control to disable background music if present","User must be able to mute or reduce ambient audio without affecting main narration","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.8 - Visual Presentation","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Verify if user can customize spacing, column width, alignment, and fonts","System must allow visual presentation adjustments without loss of functionality or content","","","",""
"","","","2","Test readability with OS settings (text size, high contrast)","Content must respect user preferences defined at system level","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.9 - Images of Text (No Exception)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Thoroughly review entire site for text rendered as images","No text in image format must exist, all must be real HTML text (no exceptions except logos)","","","",""
"","","","2","Inspect decorative elements and verify text is styled with CSS","Visual text effects must be achieved with CSS, not by converting text to images","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.10 - Reflow","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Resize window to 320px width or zoom to 400%","Horizontal scrolling must not be required to read content (except complex tables)","","","",""
"","","","2","Test on real mobile device with narrow viewport","All content must adapt fluidly without clipping or need for bidirectional scrolling","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.11 - Non-text Contrast","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Measure contrast of UI components and focus states","Minimum 3:1 contrast for component borders, functional icons, and focus indicators","","","",""
"","","","2","Verify contrast of informative graphic elements (charts, status icons)","Visual elements conveying information must be clearly distinguishable from background","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.12 - Text Spacing","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Apply increased spacing CSS (line-height: 1.5, letter-spacing: 0.12em, etc.)","Content must remain readable and functional without clipping or overlaps","","","",""
"","","","2","Verify that buttons and controls do not break with modified spacing","Interactive elements must maintain functionality and readability with custom spacing","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.13 - Content on Hover or Focus","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Activate tooltips and popup content with hover and keyboard","Additional content must be keyboard accessible, remain visible, and be dismissible without moving pointer","","","",""
"","","","2","Verify that popup content does not disappear when moving pointer over it","User must be able to move cursor over tooltip to read or interact without it disappearing","","","",""
"","","","3","Verify accessible dismiss mechanism (ESC or close button)","Popup content must be dismissible without moving pointer from the trigger that activated it","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.1 - Keyboard","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Navigate entire site using only keyboard (Tab, Enter, Space, arrows)","All functions must be operable: menus, modals, forms, interactive controls","","","",""
"","","","2","Test complex components (accordions, tabs, calendars)","Custom widgets must respond to appropriate keys (arrows, Home, End, Escape)","","","",""
"","","","3","Verify all mouse actions have keyboard equivalent","Drag and drop, hover menus, touch gestures must have keyboard-operable alternatives","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.2 - No Keyboard Trap","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Navigate with Tab through all components","User must be able to exit any component using only keyboard (Tab, Shift+Tab, Esc)","","","",""
"","","","2","Test modals, dialogs, and overlays with keyboard navigation","Focus must move freely within component and exit without being trapped","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.3 - Keyboard (No Exception)","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Verify that absolutely all functions are keyboard operable","No function should require mouse or gestures, all must have keyboard equivalent","","","",""
"","","","2","Document functions requiring specific pointer path","If function requires specific path (signature, drawing), keyboard alternative or alternative method must exist","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.4 - Character Key Shortcuts","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Test single character keyboard shortcuts if they exist","Shortcuts must be disableable, remappable, or only work when component has focus","","","",""
"","","","2","Verify shortcuts do not interfere with screen readers or assistive tools","Key combinations must avoid conflicts with assistive technology commands","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.1 - Timing Adjustable","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify timers or sessions with time limits","User must be able to extend, adjust, or disable time limits before expiration","","","",""
"","","","2","Verify prior warning before time expires","System must alert with sufficient advance notice and allow simple extension (e.g., press button)","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.2 - Pause, Stop, Hide","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Identify auto-moving content (carousels, animations)","Accessible control must exist to pause, stop, or hide content moving for more than 5 seconds","","","",""
"","","","2","Verify pause control is visible and keyboard operable","Pause/play buttons must be clearly visible and accessible without mouse","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.3 - No Timing","","","","Not Automated","Accessibility","Ready","A11Y"
"","","","1","Review all processes and verify existence of timeouts","No time limits should exist in any interaction, or timeless alternatives must exist","","","",""
"","","","2","Document exceptions where time is a real-time requirement","Identify live events or auctions where time limit is essential and cannot be removed","","","",""
