ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Automation Status,Area Path,State,Tags
"100611","Test Case","[1.1.1] Contenido no textual - Imágenes",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar todas las imágenes del sitio con herramienta de inspección o lector de pantalla","Cada imagen debe tener atributo alt con descripción significativa o alt='' si es decorativa",,,,
,,,"2","Verificar imágenes funcionales (botones, enlaces) con inspector de accesibilidad","Imágenes funcionales deben describir la acción o destino, no solo la imagen visual",,,,
,,,"3","Revisar imágenes complejas (gráficos, diagramas) y buscar descripciones extendidas","Imágenes complejas deben tener descripción larga accesible mediante longdesc, aria-describedby o texto adyacente",,,,
"100612","Test Case","[1.2.1] Solo audio y solo video pregrabado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Reproducir contenido de solo audio o solo video y verificar alternativas disponibles","Debe existir transcripción textual o descripción alternativa accesible junto al contenido",,,,
,,,"2","Verificar que transcripción incluya identificación de hablantes y sonidos relevantes","Transcripción debe ser completa, identificar quién habla y describir sonidos importantes para comprensión",,,,
"100613","Test Case","[1.2.2] Subtítulos para video pregrabado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Reproducir videos pregrabados en el sitio","Videos deben incluir subtítulos sincronizados activables que cubran todo el diálogo y sonidos relevantes",,,,
,,,"2","Verificar sincronización y precisión de subtítulos con el audio","Subtítulos deben aparecer sincronizados con el audio, sin errores significativos y cubrir efectos de sonido relevantes",,,,
"100614","Test Case","[1.2.3] Descripción de audio o alternativa media",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Reproducir videos con contenido visual esencial y verificar descripciones","Debe existir audiodescripción o alternativa textual que describa información visual importante",,,,
,,,"2","Comprobar que alternativa cubra todos los elementos visuales críticos para comprensión","Descripción debe incluir acciones, expresiones, cambios de escena y texto en pantalla no hablado",,,,
"100615","Test Case","[1.2.4] Subtítulos en vivo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Acceder a transmisiones en vivo si las hay","Transmisiones en vivo deben contar con subtitulado en tiempo real",,,,
,,,"2","Verificar precisión y retraso aceptable de subtítulos en vivo","Subtítulos deben reflejar audio hablado con precisión razonable y retraso mínimo (máximo 3-5 segundos)",,,,
"100616","Test Case","[1.2.5] Audiodescripción pregrabada",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar videos pregrabados que contengan información visual esencial no transmitida en audio","Videos deben incluir audiodescripción que describa acciones, personajes, cambios de escena y elementos visuales relevantes",,,,
,,,"2","Reproducir video con audiodescripción activada y verificar sincronización","Audiodescripción debe insertarse en pausas naturales del diálogo sin solaparse con audio principal",,,,
,,,"3","Verificar que la audiodescripción cubra todos los elementos visuales críticos","Información visual esencial debe estar completamente descrita para usuarios ciegos o con baja visión",,,,
"100617","Test Case","[1.2.6] Lenguaje de señas pregrabado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar contenido de audio pregrabado (videos con narración o diálogo)","Videos deben incluir interpretación en lenguaje de señas visible en pantalla o activable",,,,
,,,"2","Verificar visibilidad y tamaño del intérprete de señas","Intérprete debe ser claramente visible, con contraste adecuado y tamaño suficiente para distinguir señas",,,,
,,,"3","Comprobar sincronización entre audio y lenguaje de señas","Interpretación en señas debe estar sincronizada con el audio hablado sin retrasos significativos",,,,
"100618","Test Case","[1.2.7] Audiodescripción extendida pregrabada",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar videos donde pausas naturales sean insuficientes para audiodescripción","Video debe pausarse automáticamente para permitir audiodescripción extendida de información visual compleja",,,,
,,,"2","Reproducir video con audiodescripción extendida y verificar pausas","Video debe pausarse cuando sea necesario describir elementos visuales, luego continuar automáticamente",,,,
,,,"3","Verificar control del usuario sobre audiodescripción extendida","Usuario debe poder activar o desactivar audiodescripción extendida según preferencia",,,,
,,,"4","Confirmar que descripción extendida no interfiera con comprensión del contenido","Pausas y descripciones deben integrarse naturalmente sin causar confusión o pérdida de contexto narrativo",,,,
"100619","Test Case","[1.2.8] Alternativa de media pregrabada",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Localizar videos pregrabados y verificar disponibilidad de documento de texto completo","Debe existir transcripción textual completa que incluya diálogos, descripciones visuales y sonidos relevantes",,,,
,,,"2","Revisar que alternativa textual describa secuencia completa de eventos visuales","Documento debe funcionar como alternativa independiente, describiendo toda información visual esencial cronológicamente",,,,
,,,"3","Verificar accesibilidad de la alternativa textual","Transcripción debe estar en formato accesible (HTML, documento estructurado) cerca del video original",,,,
"100620","Test Case","[1.2.9] Solo audio en vivo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Acceder a transmisión de solo audio en vivo (podcast, radio web, conferencia)","Debe existir alternativa equivalente presentada de forma sincronizada con el audio en vivo",,,,
,,,"2","Verificar método de entrega de alternativa sincronizada","Alternativa puede ser transcripción en tiempo real, descripción textual sincronizada o contenido equivalente actualizado",,,,
,,,"3","Comprobar que alternativa capture información esencial del audio en vivo","Contenido textual debe reflejar información crítica del audio con mínimo retraso aceptable",,,,
"100621","Test Case","[1.3.1] Información y relaciones - Estructura semántica",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar código HTML de tablas, listas y encabezados con DevTools","Tablas usan thead/tbody/th con scope, listas usan ul/ol/li, encabezados usan h1-h6 jerárquicamente",,,,
,,,"2","Verificar formularios con labels asociados programáticamente","Cada input debe tener label con atributo for o estar envuelto en label, visible para lectores de pantalla",,,,
,,,"3","Revisar grupos de campos relacionados con fieldset y legend","Grupos de controles (radio buttons, checkboxes) deben estar agrupados con fieldset y legend descriptivo",,,,
"100622","Test Case","[1.3.2] Secuencia significativa",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar el sitio solo con Tab y verificar orden de lectura","El orden de tabulación y DOM debe coincidir con el orden visual lógico del contenido",,,,
,,,"2","Usar lector de pantalla para verificar orden de lectura del contenido","Orden de lectura debe ser lógico y coherente, sin saltos confusos causados por posicionamiento CSS",,,,
"100623","Test Case","[1.3.3] Características sensoriales",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar instrucciones que usan solo forma, color o posición","Instrucciones deben incluir texto descriptivo además de referencias visuales (ej: 'botón verde Enviar' no solo 'botón verde')",,,,
,,,"2","Verificar que información crítica no dependa únicamente de elementos sensoriales","Errores, alertas o pasos de proceso deben comunicarse con texto además de color, iconos o sonidos",,,,
"100624","Test Case","[1.3.4] Orientación responsive",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Rotar dispositivo o cambiar orientación del navegador","Contenido debe funcionar en orientación vertical y horizontal sin pérdida de funcionalidad",,,,
,,,"2","Verificar que contenido no esté bloqueado en una sola orientación","Aplicación no debe forzar orientación específica a menos que sea esencial (ej: app de piano, cheque bancario)",,,,
"100625","Test Case","[1.3.5] Propósito de entrada - Autocomplete",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar campos de formulario en código fuente","Campos comunes (nombre, email, teléfono) deben tener atributo autocomplete apropiado",,,,
,,,"2","Probar autocompletado con datos guardados en navegador","Campos con autocomplete correcto deben sugerir valores guardados del usuario al comenzar a escribir",,,,
"100626","Test Case","[1.3.6] Identificar propósito",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar componentes de UI complejos y verificar propósito programático","Componentes deben identificar su propósito mediante atributos ARIA o semántica HTML para tecnologías asistivas",,,,
,,,"2","Verificar iconos y elementos interactivos con inspector de accesibilidad","Botones, enlaces e iconos deben exponer su función mediante roles y nombres accesibles apropiados",,,,
"100627","Test Case","[1.4.1] Uso del color",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar elementos donde el color transmite información (errores, estados, enlaces)","Información transmitida por color debe incluir indicador adicional (texto, icono, patrón)",,,,
,,,"2","Probar sitio en modo escala de grises o con simulador de daltonismo","Toda información debe permanecer comprensible sin depender del color para distinguir elementos",,,,
"100628","Test Case","[1.4.2] Control de audio",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Acceder a páginas con audio automático","Debe existir control visible para pausar, detener o silenciar audio que se reproduce más de 3 segundos",,,,
,,,"2","Verificar que control de audio sea accesible por teclado","Control debe poder operarse sin mouse, usando Tab y Enter/Space",,,,
"100629","Test Case","[1.4.3] Contraste mínimo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Medir contraste de texto con herramienta (ej: Colour Contrast Analyser)","Texto normal: mínimo 4.5:1, texto grande (18pt+ o 14pt bold+): mínimo 3:1",,,,
,,,"2","Verificar contraste en todos los estados (normal, hover, focus, disabled)","Todos los estados de elementos interactivos deben cumplir ratios de contraste requeridos",,,,
,,,"3","Revisar texto sobre imágenes o fondos degradados","Texto superpuesto debe tener contraste suficiente en toda su extensión o usar sombras/overlays",,,,
