"﻿TCID","Test Summary","Issue Type","Priority","Labels","Step #","Action","Data","Expected Result"
"1","TC - [A11y] - 1.1 - Text Alternatives - 1.1.1 - Non-text Content","Test","Medium","A11Y;A","1","Inspect all site images using inspection tools or screen reader","","Each image must have an alt attribute with meaningful description or alt='' if decorative"
"1","","","","","2","Verify functional images (buttons, links) with accessibility inspector","","Functional images must describe the action or destination, not just the visual image"
"1","","","","","3","Review complex images (charts, diagrams) and look for extended descriptions","","Complex images must have accessible long description via longdesc, aria-describedby, or adjacent text"
"2","TC - [A11y] - 1.2 - Time-based Media - 1.2.1 - Audio-only and Video-only (Prerecorded)","Test","Medium","A11Y;A","1","Play audio-only or video-only content and verify available alternatives","","A text transcript or accessible alternative description must exist alongside the content"
"2","","","","","2","Verify that transcript includes speaker identification and relevant sounds","","Transcript must be complete, identify who is speaking, and describe important sounds for comprehension"
"3","TC - [A11y] - 1.2 - Time-based Media - 1.2.2 - Captions (Prerecorded)","Test","Medium","A11Y;A","1","Play prerecorded videos on the site","","Videos must include synchronized activatable captions covering all dialogue and relevant sounds"
"3","","","","","2","Verify caption synchronization and accuracy with audio","","Captions must appear synchronized with audio, without significant errors, covering relevant sound effects"
"4","TC - [A11y] - 1.2 - Time-based Media - 1.2.3 - Audio Description or Media Alternative (Prerecorded)","Test","Medium","A11Y;A","1","Play videos with essential visual content and verify descriptions","","Audio description or text alternative must exist describing important visual information"
"4","","","","","2","Verify that alternative covers all critical visual elements for comprehension","","Description must include actions, expressions, scene changes, and unspoken on-screen text"
"5","TC - [A11y] - 1.2 - Time-based Media - 1.2.4 - Captions (Live)","Test","Medium","A11Y;AA","1","Access live broadcasts if available","","Live broadcasts must have real-time captioning"
"5","","","","","2","Verify accuracy and acceptable delay of live captions","","Captions must reflect spoken audio with reasonable accuracy and minimal delay (maximum 3-5 seconds)"
"6","TC - [A11y] - 1.2 - Time-based Media - 1.2.5 - Audio Description (Prerecorded)","Test","Medium","A11Y;AA","1","Identify prerecorded videos containing essential visual information not conveyed in audio","","Videos must include audio description covering actions, characters, scene changes, and relevant visual elements"
"6","","","","","2","Play video with audio description enabled and verify synchronization","","Audio description must be inserted in natural pauses without overlapping main audio"
"6","","","","","3","Verify that audio description covers all critical visual elements","","Essential visual information must be fully described for blind or low vision users"
"7","TC - [A11y] - 1.2 - Time-based Media - 1.2.6 - Sign Language (Prerecorded)","Test","Medium","A11Y;AAA","1","Identify prerecorded audio content (videos with narration or dialogue)","","Videos must include sign language interpretation visible on screen or activatable"
"7","","","","","2","Verify visibility and size of sign language interpreter","","Interpreter must be clearly visible, with adequate contrast and sufficient size to distinguish signs"
"7","","","","","3","Verify synchronization between audio and sign language","","Sign interpretation must be synchronized with spoken audio without significant delays"
"8","TC - [A11y] - 1.2 - Time-based Media - 1.2.7 - Extended Audio Description (Prerecorded)","Test","Medium","A11Y;AAA","1","Identify videos where natural pauses are insufficient for audio description","","Video must automatically pause to allow extended audio description of complex visual information"
"8","","","","","2","Play video with extended audio description and verify pauses","","Video must pause when needed to describe visual elements, then continue automatically"
"8","","","","","3","Verify user control over extended audio description","","User must be able to enable or disable extended audio description per preference"
"8","","","","","4","Confirm that extended description does not interfere with content comprehension","","Pauses and descriptions must integrate naturally without causing confusion or loss of narrative context"
"9","TC - [A11y] - 1.2 - Time-based Media - 1.2.8 - Media Alternative (Prerecorded)","Test","Medium","A11Y;AAA","1","Locate prerecorded videos and verify availability of complete text document","","A complete text transcript must exist including dialogues, visual descriptions, and relevant sounds"
"9","","","","","2","Review that text alternative describes complete sequence of visual events","","Document must function as independent alternative, describing all essential visual information chronologically"
"9","","","","","3","Verify accessibility of text alternative","","Transcript must be in accessible format (HTML, structured document) near the original video"
"10","TC - [A11y] - 1.2 - Time-based Media - 1.2.9 - Audio-only (Live)","Test","Medium","A11Y;AAA","1","Access live audio-only broadcast (podcast, web radio, conference)","","An equivalent alternative must be presented synchronized with the live audio"
"10","","","","","2","Verify delivery method of synchronized alternative","","Alternative can be real-time transcript, synchronized text description, or updated equivalent content"
"10","","","","","3","Verify that alternative captures essential information from live audio","","Text content must reflect critical audio information with minimal acceptable delay"
"11","TC - [A11y] - 1.3 - Adaptable - 1.3.1 - Info and Relationships","Test","Medium","A11Y;A","1","Inspect HTML code of tables, lists, and headings with DevTools","","Tables use thead/tbody/th with scope, lists use ul/ol/li, headings use h1-h6 hierarchically"
"11","","","","","2","Verify forms with programmatically associated labels","","Each input must have label with for attribute or be wrapped in label, visible to screen readers"
"11","","","","","3","Review related field groups with fieldset and legend","","Control groups (radio buttons, checkboxes) must be grouped with fieldset and descriptive legend"
"12","TC - [A11y] - 1.3 - Adaptable - 1.3.2 - Meaningful Sequence","Test","Medium","A11Y;A","1","Navigate the site using only Tab and verify reading order","","Tab and DOM order must match the logical visual order of content"
"12","","","","","2","Use screen reader to verify content reading order","","Reading order must be logical and coherent, without confusing jumps caused by CSS positioning"
"13","TC - [A11y] - 1.3 - Adaptable - 1.3.3 - Sensory Characteristics","Test","Medium","A11Y;A","1","Identify instructions that use only shape, color, or position","","Instructions must include descriptive text in addition to visual references (e.g., 'green Submit button' not just 'green button')"
